mode,throughput_tokens_s,latency_p95_s,latency_p99_s,ttft_p95_s,fairness_jain_throughput
logical,569.8459264043048,4.580421555042267,5.608396539688114,1.1801988959312433,0.9568401537897919
mps,539.7129423927285,5.235976219177245,6.8823853635788,1.339555370807647,0.8967497324229242
mig_sim,417.3939398236424,3.9596679925918568,4.688682243824005,1.1179329514503478,0.9999696769742215
