tenant_id,requests_total,requests_ok,requests_err,error_rate,rps,throughput_tokens_s,latency_p50_s,latency_p95_s,latency_p99_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,slo_attainment
A,260,260,0,0.0,2.1730996686787285,209.8462053135263,2.388808488845825,3.7670575737953187,4.543678815364843,0.45312583446502686,0.8494657874107361,1.0300780391693138,1.0
B,260,260,0,0.0,2.1730996686787285,207.5477345101161,2.992393374443054,4.087547647953033,4.817900500297554,0.6827400922775269,1.226538228988647,1.5232948875427248,0.9923076923076923
